path,split
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624295a-7775-11eb-84be-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624294a-7775-11eb-9456-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624295f-7775-11eb-8408-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242960-7775-11eb-876d-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242967-7775-11eb-bd0f-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242943-7775-11eb-827d-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624294b-7775-11eb-9549-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242952-7775-11eb-b73e-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624295e-7775-11eb-bb1b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242969-7775-11eb-afc0-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242948-7775-11eb-9cef-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624294c-7775-11eb-8b5b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624293f-7775-11eb-bc24-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242961-7775-11eb-9f0f-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242956-7775-11eb-ab92-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242958-7775-11eb-a1cc-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624293e-7775-11eb-994f-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242940-7775-11eb-860d-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242944-7775-11eb-8dac-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242954-7775-11eb-a350-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624293d-7775-11eb-b30b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242965-7775-11eb-a233-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242968-7775-11eb-8ad3-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242950-7775-11eb-85f4-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242959-7775-11eb-ae04-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242964-7775-11eb-9b41-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242957-7775-11eb-97da-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242962-7775-11eb-8112-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242947-7775-11eb-840e-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624294f-7775-11eb-a9a0-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242951-7775-11eb-99fe-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624294e-7775-11eb-bf5e-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624295b-7775-11eb-ab08-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242945-7775-11eb-aaef-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242941-7775-11eb-81e3-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\8624293b-7775-11eb-9a27-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\control\86242966-7775-11eb-a613-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195e1ef-357f-11eb-b7e2-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196a5b5-357f-11eb-967b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1982c85-357f-11eb-8ce6-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1963036-357f-11eb-baa0-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19804ca-357f-11eb-9a8b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a197b6a7-357f-11eb-bd07-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195e1f0-357f-11eb-bff5-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195bac7-357f-11eb-bfc8-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1978fe4-357f-11eb-8382-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a197b6dd-357f-11eb-b491-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a197b6d5-357f-11eb-b3e0-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1978fd3-357f-11eb-9f2d-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1976898-357f-11eb-9f53-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1980588-357f-11eb-a26d-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196f377-357f-11eb-a69b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1963081-357f-11eb-aaf3-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1963054-357f-11eb-a849-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195e250-357f-11eb-94fc-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195e1e1-357f-11eb-92d2-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196a540-357f-11eb-aae6-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1978fd9-357f-11eb-a380-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196a56c-357f-11eb-92db-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1982c95-357f-11eb-a2ad-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1956d11-357f-11eb-bf6c-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a197ddb5-357f-11eb-82b4-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19768b8-357f-11eb-8018-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195e1fd-357f-11eb-9723-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1982cc6-357f-11eb-a3b0-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1951ea5-357f-11eb-a411-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1956ccd-357f-11eb-998b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195bb21-357f-11eb-b912-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1978fa7-357f-11eb-8df5-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1982beb-357f-11eb-8b71-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195940e-357f-11eb-86d1-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1982cbc-357f-11eb-a71d-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196a537-357f-11eb-8f70-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1965740-357f-11eb-a3e4-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196cc99-357f-11eb-9b37-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19741d2-357f-11eb-9cf2-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1982c9e-357f-11eb-9306-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195bb31-357f-11eb-b01c-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19805b7-357f-11eb-b752-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1980590-357f-11eb-b744-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195bb4a-357f-11eb-adce-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196cc90-357f-11eb-9132-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1971aa6-357f-11eb-bf43-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a194f78d-357f-11eb-a5e4-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1982be3-357f-11eb-ac7f-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1965751-357f-11eb-909f-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19593fa-357f-11eb-bd30-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1956d02-357f-11eb-a8b9-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1956cbb-357f-11eb-a8a0-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19609b5-357f-11eb-8ac5-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196572c-357f-11eb-b90a-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19741b6-357f-11eb-9e32-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a197b6da-357f-11eb-b48b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1967e8d-357f-11eb-8c1b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1960910-357f-11eb-93ca-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1951ed2-357f-11eb-be71-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1978fcf-357f-11eb-95f8-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196308a-357f-11eb-87bc-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19741b2-357f-11eb-a945-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196a5a5-357f-11eb-ac50-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19741ef-357f-11eb-8c85-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1965798-357f-11eb-bfa0-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1967e45-357f-11eb-9294-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195bb19-357f-11eb-a220-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196a55e-357f-11eb-8adc-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195e242-357f-11eb-a382-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19657d4-357f-11eb-a96b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196307b-357f-11eb-9a77-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a197ddbb-357f-11eb-963b-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1978fa8-357f-11eb-8966-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1982c1f-357f-11eb-a75f-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196091c-357f-11eb-9e7d-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1951e90-357f-11eb-95e4-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195e1db-357f-11eb-82c7-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a196305c-357f-11eb-b077-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1982c74-357f-11eb-b7d8-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a197b6a8-357f-11eb-84df-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19657b6-357f-11eb-8bf0-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1982c91-357f-11eb-95f1-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a1971aa1-357f-11eb-bf49-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19609a9-357f-11eb-9002-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a195e1d3-357f-11eb-86d9-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\low_grade\a19768d7-357f-11eb-a991-001a7dda7111.jpg,train
C:\Users\TAbde\PycharmProjects\Glioma-SPARSE\data\included\high_grade\a195e220-357f-11eb-88fe-001a7dda7111.jpg,train
